antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['WOODEN HEART CHRISTMAS SCANDINAVIAN'],['WOODEN STAR CHRISTMAS SCANDINAVIAN'],0.028247960486153505,0.02658305122370831,0.02042288695266108,0.7229862475442043,27.197263454068928,1.0,0.019671969972092373,3.5139661484193785,0.9912318737119162,0.5935483870967743,0.7154212767673328,0.7456267354631251
['WOODEN STAR CHRISTMAS SCANDINAVIAN'],['WOODEN HEART CHRISTMAS SCANDINAVIAN'],0.02658305122370831,0.028247960486153505,0.02042288695266108,0.7682672233820459,27.197263454068928,1.0,0.019671969972092373,4.193416458802995,0.9895364942243816,0.5935483870967743,0.7615309593444366,0.7456267354631251
"['ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER']",['PINK REGENCY TEACUP AND SAUCER'],0.03884788279038792,0.038958876741217605,0.027304511904101228,0.702857142857143,18.041001221001224,1.0,0.025791042026813236,3.2342730109670574,0.982748398417641,0.5406593406593407,0.6908115064470093,0.7018559218559219
['PINK REGENCY TEACUP AND SAUCER'],"['ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER']",0.038958876741217605,0.03884788279038792,0.027304511904101228,0.7008547008547009,18.041001221001224,1.0,0.025791042026813236,3.212994220386418,0.9828618994164764,0.5406593406593407,0.6887638347884322,0.7018559218559219
['GREEN REGENCY TEACUP AND SAUCER'],"['ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER']",0.05172318108663078,0.03024585160108774,0.027304511904101228,0.5278969957081545,17.453533881954563,1.0,0.025740100244618806,2.0541156052449687,0.9941242831401803,0.4994923857868021,0.5131724828697056,0.7153246446430681
"['ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER']",['GREEN REGENCY TEACUP AND SAUCER'],0.03024585160108774,0.05172318108663078,0.027304511904101228,0.9027522935779817,17.453533881954563,1.0,0.025740100244618806,9.751148420901632,0.9721072236474912,0.4994923857868021,0.8974479767063647,0.7153246446430681
"['PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.03196625783894778,0.053055108496586935,0.027304511904101228,0.8541666666666667,16.099612099023712,1.0,0.02560853862622598,6.49333639888055,0.9688574492807934,0.4730769230769231,0.8459959659301804,0.684405509065551
['ROSES REGENCY TEACUP AND SAUCER '],"['PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",0.053055108496586935,0.03196625783894778,0.027304511904101228,0.5146443514644352,16.099612099023712,1.0,0.02560853862622598,1.994483313590444,0.9904343015767963,0.4730769230769231,0.4986170136466008,0.684405509065551
['GREEN REGENCY TEACUP AND SAUCER'],['PINK REGENCY TEACUP AND SAUCER'],0.05172318108663078,0.038958876741217605,0.03196625783894778,0.6180257510729613,15.86354132276879,1.0,0.02995118080233005,2.515984064261756,0.9880684145841868,0.5444234404536862,0.6025412027824502,0.7192692857928908
['PINK REGENCY TEACUP AND SAUCER'],['GREEN REGENCY TEACUP AND SAUCER'],0.038958876741217605,0.05172318108663078,0.03196625783894778,0.8205128205128205,15.86354132276879,1.0,0.02995118080233005,5.283256562517342,0.9749451406132701,0.5444234404536862,0.8107228017101019,0.7192692857928908
