CustomerID,Recency,Frequency,Monetary,Cluster,ClusterLabel,PCA1,PCA2
12346.0,326,1,77183.6,2,At-Risk / Churned,0.87265804964358,2.6867580095552754
12347.0,2,7,4310.0,1,Champions,2.5502598971795702,-0.804427346363212
12348.0,75,4,1797.24,2,At-Risk / Churned,0.4751417941871483,0.746120877913391
12349.0,19,1,1757.55,0,Potential Loyalists,0.14583196924288788,-0.4604804668029506
12350.0,310,1,334.4,3,At-Risk / Churned,-1.6889904949654109,0.6765554894664503
12352.0,36,8,2506.04,2,At-Risk / Churned,1.4395747508697943,0.636477132150213
12353.0,204,1,89.0,3,At-Risk / Churned,-2.153986943744781,-0.06623115751699299
12354.0,232,1,1079.4,3,At-Risk / Churned,-1.0235592605169652,0.9190028273014899
12355.0,214,1,459.4,3,At-Risk / Churned,-1.397610429849014,0.5577377823772007
12356.0,23,3,2811.43,2,At-Risk / Churned,0.9259844273230343,0.09225827403032094
12357.0,33,1,6207.67,2,At-Risk / Churned,0.5416740683657255,0.3348213721850268
12358.0,2,2,1168.06,0,Potential Loyalists,1.043779808946639,-1.6560055994351524
12359.0,58,4,6372.58,2,At-Risk / Churned,1.1723462675744458,1.0458853584509311
12360.0,52,3,2662.06,2,At-Risk / Churned,0.5973588398722146,0.5746954619260539
12361.0,287,1,189.9,3,At-Risk / Churned,-1.9270667831567707,0.42283295324962744
12362.0,3,10,5226.23,1,Champions,2.8198426524738096,-0.42956868458060293
12363.0,110,2,552.0,3,At-Risk / Churned,-0.6912538378174345,0.36104735763354123
12364.0,8,4,1313.1,0,Potential Loyalists,1.141554088039112,-0.720648862348265
12365.0,291,2,641.38,3,At-Risk / Churned,-0.9897521043032823,1.02877982687996
12367.0,4,1,168.9,0,Potential Loyalists,-0.4334430998624921,-2.189545491937626
12370.0,51,4,3545.69,2,At-Risk / Churned,0.9424586559120676,0.7525926204977921
12371.0,45,2,1887.96,2,At-Risk / Churned,0.22827949141447776,0.2494128703665683
12372.0,72,3,1298.04,2,At-Risk / Churned,0.13437216049610284,0.516555353912387
12373.0,311,1,364.6,3,At-Risk / Churned,-1.6493047362822792,0.7099533965968708
12374.0,25,1,742.9300000000001,0,Potential Loyalists,-0.36266333669852074,-0.6070863624146543
12375.0,11,2,457.5,0,Potential Loyalists,0.06988920098928685,-1.1175615544368807
12377.0,315,2,1628.12,2,At-Risk / Churned,-0.5783259692518182,1.417386811682714
